KS_Code__c,KS_Title__c,KS_NumberOfRooms__c,KS_NumberOfBaths__c,KS_M2__c,KS_Floor__c,KS_Type__c,KS_Price__c,KS_Features__c,KS_Images__c,KS_Project__r.Name,KS_ParkingCost__c
A3.25,2-Room Terrace Apartment with Garden in Winnenden,2,1,64.7,0 of 3,Apartment,342000,"Terrace;Garden;Balcony","[""https://immobilien.weisenburger.de/cdn/shop/files/HausA3Whg25EG_4a1c71bd-2a4f-4f2a-ad2d-3459c33a3af1.png?v=1765981314&width=1200"", ""https://immobilien.weisenburger.de/cdn/shop/files/15.png?v=1766071663&width=1200"", ""https://immobilien.weisenburger.de/cdn/shop/files/18.png?v=1766071663&width=1200"", ""https://immobilien.weisenburger.de/cdn/shop/files/16.png?v=1766071663&width=1200"", ""https://immobilien.weisenburger.de/cdn/shop/files/17_d022a82a-1033-4916-8a63-90f11aa93ad2.png?v=1766071663&width=1200""]",Winnenden,26500
A3.27,2-Room Terrace Apartment with Garden in Winnenden,2,1,68,0 of 3,Apartment,343000,"Terrace;Garden;Elevator","[""https://immobilien.weisenburger.de/cdn/shop/files/HausA3Whg27EG.png?v=1765981248&width=1200"", ""https://immobilien.weisenburger.de/cdn/shop/files/15.png?v=1766071663&width=1200"", ""https://immobilien.weisenburger.de/cdn/shop/files/18.png?v=1766071663&width=1200"", ""https://immobilien.weisenburger.de/cdn/shop/files/16.png?v=1766071663&width=1200"", ""https://immobilien.weisenburger.de/cdn/shop/files/17_d022a82a-1033-4916-8a63-90f11aa93ad2.png?v=1766071663&width=1200""]",Winnenden,26500
A2.15,3-Room Ground Floor Apartment in Winnenden with Private Garden,3,2,85,0 of 3,Apartment,451000,"Garden;Ground Floor;Terrace","[""https://immobilien.weisenburger.de/cdn/shop/files/HausA2Whg15EG_2ead048c-1ee1-4f58-8550-89bac0d298c3.png?v=1765981365&width=1200"", ""https://immobilien.weisenburger.de/cdn/shop/files/15.png?v=1766071663&width=1200"", ""https://immobilien.weisenburger.de/cdn/shop/files/18.png?v=1766071663&width=1200"", ""https://immobilien.weisenburger.de/cdn/shop/files/16.png?v=1766071663&width=1200"", ""https://immobilien.weisenburger.de/cdn/shop/files/17_d022a82a-1033-4916-8a63-90f11aa93ad2.png?v=1766071663&width=1200""]",Winnenden,28000
A2.20,3-Room Apartment in Winnenden with 90 m² incl. Balcony,3,2,90,2 of 3,Apartment,479000,"Balcony;Elevator;Premium Finishes","[""https://immobilien.weisenburger.de/cdn/shop/files/HausA2Whg201.OG.png?v=1765981345&width=1200"", ""https://immobilien.weisenburger.de/cdn/shop/files/15.png?v=1766071663&width=1200"", ""https://immobilien.weisenburger.de/cdn/shop/files/18.png?v=1766071663&width=1200"", ""https://immobilien.weisenburger.de/cdn/shop/files/16.png?v=1766071663&width=1200"", ""https://immobilien.weisenburger.de/cdn/shop/files/17_d022a82a-1033-4916-8a63-90f11aa93ad2.png?v=1766071663&width=1200""]",Winnenden,26500
A1.12,4-Room Apartment in Winnenden with 102 m² incl. Balcony,4,2,102,1 of 3,Apartment,559500,"Balcony;Elevator;Parking","[""https://immobilien.weisenburger.de/cdn/shop/files/HausA1Whg12-2.OG_02a13b2a-812e-4ded-826c-90af827cdfdd.png?v=1765981432&width=1200"", ""https://immobilien.weisenburger.de/cdn/shop/files/15.png?v=1766071663&width=1200"", ""https://immobilien.weisenburger.de/cdn/shop/files/18.png?v=1766071663&width=1200"", ""https://immobilien.weisenburger.de/cdn/shop/files/16.png?v=1766071663&width=1200"", ""https://immobilien.weisenburger.de/cdn/shop/files/17_d022a82a-1033-4916-8a63-90f11aa93ad2.png?v=1766071663&width=1200""]",Winnenden,28000
A5.48,Penthouse with Two Roof Terraces and Breathtaking Views in Winnenden,5,3,144,3 of 3,Penthouse,829000,"Roof Terrace;Panoramic View;Premium Finishes;Elevator","[""https://immobilien.weisenburger.de/cdn/shop/files/HausA5Whg48Penthouse_5586d2ef-0582-4cf1-a4e9-453d9eef3d40.png?v=1766071663&width=1200"", ""https://immobilien.weisenburger.de/cdn/shop/files/Bild_3.jpg?v=1766072826&width=1200"", ""https://immobilien.weisenburger.de/cdn/shop/files/Bild_1.jpg?v=1766072826&width=1200"", ""https://immobilien.weisenburger.de/cdn/shop/files/Bild_4.jpg?v=1766072826&width=1200"", ""https://immobilien.weisenburger.de/cdn/shop/files/Bild_2.jpg?v=1766072826&width=1200""]",Winnenden,30000
A3.34,Exclusive Penthouse in Winnenden with 122 m² and Premium Finishes,4,2,122,3 of 3,Penthouse,708000,"Terrace;Premium Finishes;Elevator","[""https://immobilien.weisenburger.de/cdn/shop/files/HausA3Whg34Penthouse_99d019ad-ddeb-4e4a-8b5a-a613aa05437f.png?v=1766071614&width=1200"", ""https://immobilien.weisenburger.de/cdn/shop/files/15.png?v=1766071663&width=1200"", ""https://immobilien.weisenburger.de/cdn/shop/files/18.png?v=1766071663&width=1200"", ""https://immobilien.weisenburger.de/cdn/shop/files/16.png?v=1766071663&width=1200"", ""https://immobilien.weisenburger.de/cdn/shop/files/17_d022a82a-1033-4916-8a63-90f11aa93ad2.png?v=1766071663&width=1200""]",Winnenden,28000
A1.08,Spacious 4-Room Apartment with Balcony in Winnenden-Höfen,4,2,98,0 of 3,Apartment,549000,"Balcony;Elevator;Storage","[""https://immobilien.weisenburger.de/cdn/shop/files/HausA1Whg8-1.OG.png?v=1765981388&width=1200"", ""https://immobilien.weisenburger.de/cdn/shop/files/15.png?v=1766071663&width=1200"", ""https://immobilien.weisenburger.de/cdn/shop/files/18.png?v=1766071663&width=1200"", ""https://immobilien.weisenburger.de/cdn/shop/files/16.png?v=1766071663&width=1200"", ""https://immobilien.weisenburger.de/cdn/shop/files/17_d022a82a-1033-4916-8a63-90f11aa93ad2.png?v=1766071663&width=1200""]",Winnenden,26500
A3.26,Bright 1-Room Ground Floor Apartment in Winnenden with Private Garden,1,1,45,0 of 3,Studio,239000,"Garden;Ground Floor","[""https://immobilien.weisenburger.de/cdn/shop/files/HausA3Whg26EG_b25cfb25-bbbf-4ca9-b460-462b2f0c7a5d.png?v=1765981270&width=1200"", ""https://immobilien.weisenburger.de/cdn/shop/files/15.png?v=1766071663&width=1200"", ""https://immobilien.weisenburger.de/cdn/shop/files/18.png?v=1766071663&width=1200"", ""https://immobilien.weisenburger.de/cdn/shop/files/16.png?v=1766071663&width=1200"", ""https://immobilien.weisenburger.de/cdn/shop/files/17_d022a82a-1033-4916-8a63-90f11aa93ad2.png?v=1766071663&width=1200""]",Winnenden,25000
A3.29,Bright 1-Room Apartment in Winnenden with Balcony,1,1,47,2 of 3,Studio,239000,"Balcony;Elevator","[""https://immobilien.weisenburger.de/cdn/shop/files/HausA3Whg291.OG.png?v=1765981217&width=1200"", ""https://immobilien.weisenburger.de/cdn/shop/files/15.png?v=1766071663&width=1200"", ""https://immobilien.weisenburger.de/cdn/shop/files/18.png?v=1766071663&width=1200"", ""https://immobilien.weisenburger.de/cdn/shop/files/16.png?v=1766071663&width=1200"", ""https://immobilien.weisenburger.de/cdn/shop/files/17_d022a82a-1033-4916-8a63-90f11aa93ad2.png?v=1766071663&width=1200""]",Winnenden,25000
